frame: 0, time: 0, x: 0
frame: 311, time: 5.18333, x: -0.89114
frame: 312, time: 5.2, x: -0.883455
frame: 313, time: 5.21667, x: -0.875524
frame: 314, time: 5.23333, x: -0.86735
frame: 315, time: 5.25, x: -0.858934
frame: 316, time: 5.26667, x: -0.850281
frame: 317, time: 5.28333, x: -0.841391
frame: 318, time: 5.3, x: -0.832267
frame: 319, time: 5.31667, x: -0.822913
frame: 320, time: 5.33333, x: -0.813329
frame: 321, time: 5.35, x: -0.80352
frame: 322, time: 5.36667, x: -0.793488
frame: 323, time: 5.38333, x: -0.783235
frame: 324, time: 5.4, x: -0.772764
frame: 325, time: 5.41667, x: -0.762079
frame: 326, time: 5.43333, x: -0.751183
frame: 327, time: 5.45, x: -0.740077
frame: 328, time: 5.46667, x: -0.728766
frame: 329, time: 5.48333, x: -0.717253
frame: 330, time: 5.5, x: -0.70554
frame: 331, time: 5.51667, x: -0.693632
frame: 332, time: 5.53333, x: -0.68153
frame: 333, time: 5.55, x: -0.66924
frame: 334, time: 5.56667, x: -0.656763
frame: 335, time: 5.58333, x: -0.644104
frame: 336, time: 5.6, x: -0.631267
frame: 337, time: 5.61667, x: -0.618253
frame: 338, time: 5.63333, x: -0.605069
frame: 339, time: 5.65, x: -0.591716
frame: 340, time: 5.66667, x: -0.578198
frame: 341, time: 5.68333, x: -0.56452
frame: 342, time: 5.7, x: -0.550686
frame: 343, time: 5.71667, x: -0.536698
frame: 344, time: 5.73333, x: -0.522561
frame: 345, time: 5.75, x: -0.508279
frame: 346, time: 5.76667, x: -0.493856
frame: 347, time: 5.78333, x: -0.479296
frame: 348, time: 5.8, x: -0.464602
frame: 349, time: 5.81667, x: -0.44978
frame: 350, time: 5.83333, x: -0.434832
frame: 351, time: 5.85, x: -0.419764
frame: 352, time: 5.86667, x: -0.404579
frame: 353, time: 5.88333, x: -0.389282
frame: 354, time: 5.9, x: -0.373877
frame: 355, time: 5.91667, x: -0.358367
frame: 356, time: 5.93333, x: -0.342759
frame: 357, time: 5.95, x: -0.327055
frame: 358, time: 5.96667, x: -0.31126
frame: 359, time: 5.98333, x: -0.295379
